Last N days,Profit Ratio,Time to Ship,City,Customer,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Category,Container,Product Name,Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Supplier,Unit Price,Customer Zip Code
2958,-141.24%,1,Brunswick,Liz Willingham,Home Office,0.0%,1,12/28/2010 12:00:00 AM,258,Critical,7,0.78,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,($284),East,43,$201,12/29/2010 12:00:00 AM,Delivery Truck,$53,Maine,Other,$21,04011
2958,-25.42%,2,Hudson,Liz Willingham,Home Office,2.0%,1,12/28/2010 12:00:00 AM,258,Critical,33,0.36,Office Supplies,Small Box,Wilson Jones® Four-Pocket Poly Binders,Binders and Binder Accessories,($55),East,44,$217,12/30/2010 12:00:00 AM,Regular Air,$5,New Hampshire,Wilson Jones,$7,03051
3141,29.60%,1,Garden City,Sonia Sunley,Small Business,4.0%,1,6/28/2010 12:00:00 AM,261,Medium,47,0.59,Technology,Small Box,7160,Telephones and Communication,"$1,681",Central,45,"$5,678",6/29/2010 12:00:00 AM,Regular Air,$4,Kansas,Other,$141,67846
3549,-99.62%,1,Davis,Paul Lucas,Corporate,9.0%,1,5/16/2009 12:00:00 AM,263,High,25,0.37,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,($136),West,46,$137,5/17/2009 12:00:00 AM,Regular Air,$8,California,3M,$5,95616
3680,-17.21%,1,Deer Park,Dorris Love,Home Office,5.0%,1,1/5/2009 12:00:00 AM,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,($32),East,47,$189,1/6/2009 12:00:00 AM,Regular Air,$6,New York,Other,$8,11729
2578,42.54%,1,Taylors,Valerie Takahito,Consumer,8.0%,1,1/12/2012 12:00:00 AM,292,High,43,0.37,Office Supplies,Small Box,#6 3/4 Gummed Flap White Envelopes,Envelopes,$176,South,48,$413,1/13/2012 12:00:00 AM,Regular Air,$1,South Carolina,Other,$10,29687
2315,4.52%,1,Tinley Park,Barry French,Consumer,7.0%,1,10/1/2012 12:00:00 AM,293,High,49,0.58,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,$458,Central,49,"$10,123",10/2/2012 12:00:00 AM,Delivery Truck,$68,Illinois,Other,$208,60477
2315,19.10%,2,Tinley Park,Barry French,Consumer,1.0%,1,10/1/2012 12:00:00 AM,293,High,27,0.39,Office Supplies,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,$47,Central,50,$245,10/3/2012 12:00:00 AM,Regular Air,$3,Illinois,Other,$9,60477
3124,7.67%,1,Urbandale,Sanjit Chand,Home Office,6.0%,1,7/15/2010 12:00:00 AM,294,Medium,35,0.71,Office Supplies,Small Box,Fellowes Staxonsteel® Drawer Files,Storage & Organization,$489,Central,51,"$6,375",7/16/2010 12:00:00 AM,Regular Air,$20,Iowa,Fellowes,$193,50322
2512,9.78%,2,Allen Park,Giulietta Weimer,Corporate,8.0%,1,3/18/2012 12:00:00 AM,322,Critical,20,0.6,Technology,Small Box,I888 World Phone,Telephones and Communication,$258,Central,52,"$2,635",3/20/2012 12:00:00 AM,Regular Air,$8,Michigan,Other,$156,48101
2512,-103.77%,2,Ann Arbor,Giulietta Weimer,Corporate,10.0%,1,3/18/2012 12:00:00 AM,322,Critical,46,0.37,Office Supplies,Small Box,Xerox 1997,Paper,($292),Central,53,$281,3/20/2012 12:00:00 AM,Regular Air,$10,Michigan,Xerox,$6,48104
3601,23.83%,2,Scottsdale,Dario Medina,Small Business,7.0%,1,3/25/2009 12:00:00 AM,323,Critical,20,0.38,Office Supplies,Small Box,Staples Standard Envelopes,Envelopes,$26,West,54,$108,3/27/2009 12:00:00 AM,Regular Air,$1,Arizona,Other,$6,85254
3601,-56.45%,2,Scottsdale,Dario Medina,Small Business,6.0%,1,3/25/2009 12:00:00 AM,323,Critical,2,0.39,Office Supplies,Small Box,Xerox 1964,Paper,($31),West,55,$55,3/27/2009 12:00:00 AM,Regular Air,$12,Arizona,Xerox,$23,85254
2511,17.23%,2,Sanford,Frank Gastineau,Small Business,2.0%,1,3/19/2012 12:00:00 AM,324,Critical,25,0.57,Technology,Medium Box,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,$667,South,56,"$3,873",3/21/2012 12:00:00 AM,Regular Air,$14,North Carolina,Other,$180,27237
3031,-20.21%,4,Sanford,Craig Yedwab,Corporate,6.0%,1,10/16/2010 12:00:00 AM,325,Low,9,0.56,Technology,Small Box,282,Telephones and Communication,($179),East,57,$884,10/20/2010 12:00:00 AM,Regular Air,$4,Maine,Other,$116,04073
2801,-20.22%,1,Columbia,Michelle Tran,Consumer,3.0%,1,6/3/2011 12:00:00 AM,326,High,34,0.38,Office Supplies,Small Box,"DXL™ Angle-View Binders with Locking Rings, Black",Binders and Binder Accessories,($44),East,58,$218,6/4/2011 12:00:00 AM,Regular Air,$5,Maryland,Other,$6,21044
2801,-21.10%,1,Crofton,Michelle Tran,Consumer,5.0%,1,6/3/2011 12:00:00 AM,326,High,17,0.54,Office Supplies,Wrap Bag,"Advantus Push Pins, Aluminum Head",Rubber Bands,($21),East,59,$101,6/4/2011 12:00:00 AM,Regular Air,$3,Maryland,Other,$6,21114
2956,8.27%,92,Redwood City,Dean Percer,Home Office,2.0%,1,12/30/2010 12:00:00 AM,353,Low,21,0.38,Office Supplies,Wrap Bag,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,$4,West,60,$47,4/1/2011 12:00:00 AM,Regular Air,$1,California,Other,$2,94061
3521,-13.92%,5,College Station,Henry MacAllister,Small Business,0.0%,1,6/13/2009 12:00:00 AM,355,Low,16,0.85,Technology,Wrap Bag,Accessory4,Telephones and Communication,($173),Central,61,"$1,240",6/18/2009 12:00:00 AM,Regular Air,$1,Texas,Other,$86,77840
3058,-82.15%,2,Lewiston,Ricardo Block,Corporate,2.0%,1,9/19/2010 12:00:00 AM,358,High,33,0.69,Furniture,Jumbo Box,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,"($1,348)",West,62,"$1,641",9/21/2010 12:00:00 AM,Delivery Truck,$54,Idaho,Other,$49,83501
3058,21.79%,0,Lewiston,Ricardo Block,Corporate,7.0%,1,9/19/2010 12:00:00 AM,358,High,33,0.54,Technology,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,$269,West,63,"$1,236",9/19/2010 12:00:00 AM,Regular Air,$2,Idaho,Other,$39,83501
3333,-13.67%,1,Pleasant Grove,Cari Sayre,Corporate,8.0%,1,12/18/2009 12:00:00 AM,359,Medium,30,0.63,Furniture,Jumbo Box,Bevis 36 x 72 Conference Tables,Tables,($500),West,64,"$3,660",12/19/2009 12:00:00 AM,Delivery Truck,$52,Utah,Other,$124,84062
2528,-23.75%,7,Bend,Sonia Cooley,Corporate,2.0%,1,3/2/2012 12:00:00 AM,384,Low,50,0.71,Furniture,Jumbo Box,BPI Conference Tables,Tables,"($1,821)",West,65,"$7,666",3/9/2012 12:00:00 AM,Delivery Truck,$80,Oregon,Other,$146,97701
2931,-0.20%,2,Mount Vernon,Tracy Poddar,Corporate,2.0%,1,1/24/2011 12:00:00 AM,386,High,4,0.38,Office Supplies,Small Box,Avery 501,Labels,$0,East,66,$15,1/26/2011 12:00:00 AM,Regular Air,$1,Ohio,Avery,$4,43050
2931,-10.13%,2,Mount Vernon,Tracy Poddar,Corporate,9.0%,1,1/24/2011 12:00:00 AM,386,High,4,0.44,Office Supplies,Wrap Bag,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,($2),East,67,$16,1/26/2011 12:00:00 AM,Regular Air,$1,Ohio,Avery,$4,43050
2240,-18.29%,3,Bartlesville,Jennifer Halladay,Home Office,6.0%,1,12/15/2012 12:00:00 AM,388,Not Specified,46,0.5,Office Supplies,Medium Box,Harmony HEPA Quiet Air Purifiers,Appliances,($95),Central,68,$518,12/18/2012 12:00:00 AM,Regular Air,$7,Oklahoma,Other,$12,74006
3051,7.65%,5,Grove City,Stuart Calhoun,Consumer,1.0%,1,9/26/2010 12:00:00 AM,416,Low,20,0.59,Technology,Small Box,5190,Telephones and Communication,$89,East,69,"$1,157",10/1/2010 12:00:00 AM,Express Air,$8,Ohio,Other,$66,43123
3649,57.24%,1,East Los Angeles,Robert Barroso,Small Business,7.0%,1,2/5/2009 12:00:00 AM,417,Medium,39,0.38,Technology,Jumbo Drum,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Office Machines,"$8,735",West,70,"$15,261",2/6/2009 12:00:00 AM,Delivery Truck,$28,California,Other,$501,90022
3649,-31.64%,2,East Los Angeles,Robert Barroso,Small Business,10.0%,1,2/5/2009 12:00:00 AM,417,Medium,3,0.55,Office Supplies,Small Box,"Hot File® 7-Pocket, Floor Stand",Storage & Organization,($171),West,71,$540,2/7/2009 12:00:00 AM,Regular Air,$20,California,Other,$178,90022
2652,-47.79%,0,Marysville,Tony Sayre,Small Business,9.0%,1,10/30/2011 12:00:00 AM,420,Not Specified,8,0.38,Office Supplies,Small Box,Xerox 190,Paper,($21),West,72,$43,10/30/2011 12:00:00 AM,Regular Air,$5,Washington,Xerox,$5,98270
2652,-34.92%,2,Marysville,Tony Sayre,Small Business,3.0%,1,10/30/2011 12:00:00 AM,420,Not Specified,6,0.36,Office Supplies,Small Box,Xerox 1950,Paper,($15),West,73,$42,11/1/2011 12:00:00 AM,Regular Air,$5,Washington,Xerox,$6,98270
2723,-24.49%,2,Long Beach,Brad Thomas,Corporate,9.0%,1,8/20/2011 12:00:00 AM,448,Medium,22,0.59,Technology,Small Box,iDENi80s,Telephones and Communication,($285),West,74,"$1,162",8/22/2011 12:00:00 AM,Regular Air,$20,California,Other,$66,90805
2755,-13.73%,2,San Marcos,Candace McMahon,Corporate,2.0%,1,7/19/2011 12:00:00 AM,449,High,45,0.56,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,($49),Central,75,$357,7/21/2011 12:00:00 AM,Regular Air,$5,Texas,Eldon,$7,78666
2892,10.92%,1,Fort Dodge,Matt Collins,Consumer,5.0%,1,3/4/2011 12:00:00 AM,450,Not Specified,29,0.56,Office Supplies,Small Pack,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Pens & Art Supplies,$109,Central,76,"$1,001",3/5/2011 12:00:00 AM,Express Air,$9,Iowa,Other,$35,50501
2892,-38.83%,2,Fort Dodge,Matt Collins,Consumer,5.0%,1,3/4/2011 12:00:00 AM,450,Not Specified,35,0.6,Office Supplies,Small Box,Hanging Personal Folder File,Storage & Organization,($211),Central,77,$544,3/6/2011 12:00:00 AM,Regular Air,$11,Iowa,Other,$16,50501
2595,24.01%,2,Altoona,Darrin Martin,Small Business,9.0%,1,12/26/2011 12:00:00 AM,454,Low,42,0.35,Office Supplies,Wrap Bag,Staples Bulk Pack Metal Binder Clips,Rubber Bands,$56,East,78,$234,12/28/2011 12:00:00 AM,Regular Air,$2,Pennsylvania,Other,$6,16602
2309,31.63%,2,Highlands Ranch,Art Foster,Home Office,1.0%,1,10/7/2012 12:00:00 AM,481,High,44,0.57,Technology,Small Box,636,Telephones and Communication,"$1,426",West,79,"$4,509",10/9/2012 12:00:00 AM,Regular Air,$5,Colorado,Other,$116,80126
2764,24.14%,2,Rock Island,Clay Rozendal,Corporate,8.0%,1,7/10/2011 12:00:00 AM,483,High,30,0.58,Technology,Small Box,R380,Telephones and Communication,"$1,199",Central,80,"$4,966",7/12/2011 12:00:00 AM,Regular Air,$4,Illinois,Other,$196,61201
2360,-9.01%,1,Orlando,Valerie Dominguez,Corporate,7.0%,1,8/17/2012 12:00:00 AM,487,Critical,19,0.59,Office Supplies,Small Box,Belkin 6 Outlet Metallic Surge Strip,Appliances,($19),South,81,$210,8/18/2012 12:00:00 AM,Regular Air,$5,Florida,Belkin,$11,32839
2816,1.46%,0,East Point,Sam Craven,Home Office,6.0%,1,5/19/2011 12:00:00 AM,512,Low,6,0.57,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,$19,South,82,"$1,310",5/19/2011 12:00:00 AM,Regular Air,$18,Georgia,Other,$218,30344
2816,-20.64%,2,East Point,Sam Craven,Home Office,1.0%,1,5/19/2011 12:00:00 AM,512,Low,48,0.58,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,($166),South,83,$806,5/21/2011 12:00:00 AM,Express Air,$11,Georgia,Other,$15,30344
2835,-12.59%,0,Cleveland,Arthur Prichep,Home Office,0.0%,1,4/30/2011 12:00:00 AM,513,High,33,0.77,Furniture,Jumbo Drum,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,($685),East,84,"$5,438",4/30/2011 12:00:00 AM,Delivery Truck,$60,Ohio,Other,$151,44105
3080,7.85%,2,Wheeling,Carlos Soltero,Consumer,8.0%,1,8/28/2010 12:00:00 AM,515,Not Specified,19,0.5,Office Supplies,Medium Box,Holmes HEPA Air Purifier,Appliances,$31,Central,85,$394,8/30/2010 12:00:00 AM,Regular Air,$6,Illinois,Other,$22,60090
3080,3.02%,2,Wilmette,Carlos Soltero,Consumer,5.0%,1,8/28/2010 12:00:00 AM,515,Not Specified,21,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,$4,Central,86,$147,8/30/2010 12:00:00 AM,Regular Air,$5,Illinois,Other,$7,60091
3422,27.82%,1,Murray,Sung Chung,Home Office,4.0%,1,9/20/2009 12:00:00 AM,548,Critical,41,0.37,Office Supplies,Small Box,Avery 481,Labels,$36,South,87,$129,9/21/2009 12:00:00 AM,Regular Air,$1,Kentucky,Avery,$3,42071
3422,-24.95%,1,Murray,Sung Chung,Home Office,2.0%,1,9/20/2009 12:00:00 AM,548,Critical,29,0.37,Office Supplies,Small Box,Xerox 1976,Paper,($51),South,88,$203,9/21/2009 12:00:00 AM,Regular Air,$6,Kentucky,Xerox,$6,42071
3422,18.54%,2,Murray,Sung Chung,Home Office,4.0%,1,9/20/2009 12:00:00 AM,548,Critical,26,0.59,Technology,Small Box,V3682,Telephones and Communication,$510,South,89,"$2,753",9/22/2009 12:00:00 AM,Regular Air,$4,Kentucky,Other,$126,42071
